"","Country","Infant_vaccination_rate","Pecentage_of_malnourished_population","Net_migration_rate","Proportion_of_urban_population","Public_social_welfare_expenditures","National_competitiveness","Average_annual_temperature","Annual_precipitation","Pharmaceutical_sales","Exports_to_GDP_ratio","Imports_to_GDP_ratio","GDP","Number_of_foreign_visitors","Number_of_international_travelers","Aging_index","Total_fertility_rate","Population","Population_density","Median_age","Aged_65_older","Aged_70_older","Gdp_per_capita","Extreme_poverty","Cardiovasc_death_rate","Diabetes_prevalence","Female_smokers","Male_smokers","Handwashing_facilities","Hospital_beds_per_thousand","Life_expectancy","Human_development_index"
"25","Congo",6.61172044835795,4.04833193065103,-0.132359020204799,3.35601511117024,NA,NA,1.61491846177958,1.95950953933224,NA,NA,NA,0.388759193429114,NA,NA,0.127211203025535,3.75592171512467,0.0100542082533182,0.00983705849864842,2.0850607720269,0.549446137442382,0.490975908831102,0.247344005743309,1.81417486439061,2.90172764896323,1.57565056726694,0.162705420483537,3.8285641523791,1.50103160720487,NA,8.60805995355908,3.90749368743866
"26","Costa_Rica",8.28668962860863,0.462666506360118,0.132359020204799,3.99949883455097,NA,NA,2.64181911953387,3.01188413086258,NA,NA,NA,3.06433717173537,NA,NA,0.934147938635271,1.4854881390156,0.00928170154142842,0.0613524663090972,3.68726536526862,1.52914639309361,1.35512206732152,0.786661558666671,0.0637412790191296,1.16351947116312,1.92141833063941,0.612538053585081,1.27374792067679,2.62380099615677,0.461988718070465,10.7024168045799,5.11971945185857
"27","Cote_dIvoire",7.22881435687136,NA,-0.0496346325767998,2.55908526913719,NA,NA,4.26952057705313,2.96117282065782,NA,1.47182303216027,0.891551039958056,2.5612370390624,NA,NA,0.131008552369581,3.95004800601876,0.048062386457728,0.0487855522387693,2.052138759837,0.473699447712671,0.376502126888416,0.182465307894014,1.3826954371842,2.56142436687676,0.529593662886945,NA,NA,0.605588829768605,NA,7.70286052526938,3.17242061752446
"28","Croatia",8.19853335596386,0.361458208093842,-0.314352672986398,2.85112788205613,NA,3.30146636301067,NA,NA,NA,1.28272788763107,2.33376595753726,3.08720535958414,0.843881935162685,0.108038666572259,2.77396369582547,1.22383965998444,0.0074799802916811,0.0470786741234244,4.82856178785176,3.18556014547723,3.10649953367541,1.14869330667591,0.0343222271641467,2.14013102875722,1.22331759319753,3.28282113093254,2.92083574913816,NA,2.26497123726582,10.4637854383592,5.35829579911143
"29","Cuba",8.72747099183249,0.361458208093842,-0.215083407832799,3.82130334192246,NA,NA,NA,NA,NA,NA,NA,0.0228681878487714,NA,NA,1.89487732267886,1.36732430977572,0.0206375964861343,0.0705024313352012,4.72979575128207,2.3802872350458,2.31303677068806,NA,NA,1.61042367977126,1.80980974879134,1.63662511192264,3.90176805586627,2.66626826100075,2.12596578227117,10.5051126582075,5.01010329230997
"30","Czechia",8.46300217389818,0.361458208093842,0.347442428037598,3.66785722327013,4.11866964903645,1.81580649965587,0.549668816806242,0.802341787137055,0.28102699466463,4.06505824875789,3.1204286398532,1.600773149414,0.0767165395602441,0.108038666572259,2.42650623084528,1.38420485680999,0.0195122399570424,0.087595477871509,4.75174375940867,3.07298990509001,2.75593845092785,1.6521623894693,NA,1.91836973101653,1.4924912317723,2.9191266616164,2.80370950355869,NA,2.71060637239574,10.5824345534075,5.72583233406853
"31","Democratic_Republic_of_the_Congo",7.14065808422659,NA,0.0496346325767998,NA,NA,NA,NA,NA,NA,NA,NA,2.65270979045749,NA,NA,0.125312528353512,5.03040301621192,0.163184848544672,0.0229109913581958,1.86558069076091,0.487750539410933,0.415294697484378,0.040948622874917,3.7803481633653,2.6896811101303,1.33492617504561,NA,NA,0.13995107471062,NA,8.0894700012694,2.94674028904203
"32","Denmark",8.55115844654295,0.361458208093842,0.430166815665598,4.36083969460322,NA,NA,0.244297251913885,0.419938674535548,NA,1.48741850799773,1.33732655993708,2.17247784563329,0.383582697801221,2.26881199801743,2.35055924396436,1.4854881390156,0.0105536506472698,0.0871765807358314,4.64200371877567,3.17796932582415,2.93324191776216,2.36543329079206,0.00980635061832763,0.967824423234823,1.40276668558071,1.84718506784251,1.37623338555883,NA,1.02209893378421,10.7850712442764,5.99020071886224
"33","Djibouti",7.4051269021609,NA,0.148903897730399,3.86585221507958,NA,NA,0.316734227772072,0.299671669971373,NA,NA,NA,1.18914576813611,NA,NA,0.309483971539734,2.32951549072901,0.00180018344433092,0.026363061351295,2.78739703207806,0.680428153158364,0.566419128947175,0.137084675440228,1.10321444456186,2.17601323288266,1.32398415721736,0.162705420483537,1.79349563543571,NA,0.57237540291916,8.94667652909013,3.06925246736106
"34","Dominican_Republic",8.28668962860863,NA,-0.463256570716798,4.08364670606998,NA,NA,NA,NA,NA,0.294364606432055,0.917773129368587,3.38449180161817,0.0767165395602441,0.108038666572259,0.520236860134277,1.99190455004365,0.0197653619997643,0.142318386158343,3.02882512147065,1.12747897868468,1.05168324824267,0.739835089939507,0.078450804946621,2.24867153388026,1.7944909238318,0.813527102417685,1.39819455660499,1.72691865042071,0.654143317621897,9.87587240761432,4.74573490751626
